,author,username,retweet_count,tweets,created_at
107,asumsico,theuigeon,2123,"🚨BREAKING NEWS🚨

Menteri Kesehatan Budi Gunadi Sadikin mengungkapkan virus Corona subvarian Omicron XBB sudah ditemukan di Indonesia. https://t.co/srf8uPuWin",2022-10-23 11:04:35
108,,honeycrushxx,0,"jangan donkkk. nanti judul skripsi ku diganti lagi🥲🥲 btw aku dah 3x kali judul. 1x pas proposal ku sudah rampung sampai lampiran, 2x pas proposal ku dah sampai bab 3. nangis banget kalo ada corona jilid selanjutnya https://t.co/rYSubrfzAL",2022-10-23 11:03:04
109,,YeoraaKim,0,@tanyakanrl Ini Corona apa lg😭,2022-10-23 10:46:48
110,LemurBegu,Andimuh51645983,1,@Dylan80an @alisyarief Awal corona dulu katanya menular dari kelelawar,2022-10-23 10:46:09
111,,LexikaPrima,0,"Selamat sore, beberapa bintang dan melati Polri, ada apa dengan Pasal 55 dan 56 KUHP, follow and subscribe.

#KUHP
#turutserta
#membantutindakpidana
#corona
#covid
#pasal55
#pasal56
#medeppeger
#pleget
#medeplechtigen
#pleger
#sidang
#unsur
#niat
#sengaja https://t.co/NsFQPcpLWR",2022-10-23 10:44:36
112,,HanggaraSoesant,0,@vvotanet Tau lama tapi ngikutin pas Corona awal sekitar Mei 2020an,2022-10-23 10:44:06
113,BuchroniK,visiau,1,@geloraco 2 tahun lalu seorang ahli virus komputer berkata tentang vaksin virus Corona .. btw benarkah yang dikatakan Bill Gates tersebut? https://t.co/kT7VP4g18o,2022-10-23 10:41:57
114,ChangeTanzania,S4Shibeshi,21,"“Tuna serikali ambayo ina uposhaji mkubwa kwa raia wake, tukianzia kwenye corona walituambia tusichanje na tufanye maombi, yani hawasemi ukweli hatimae madhara yake tuliyaona”. – @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/xrIF2n5flx https://t.co/MAie8eBuQd",2022-10-23 10:29:58
115,ChangeTanzania,S4Shibeshi,24,"“Katiba itatakiwa iseme mtu yoyote anayepotosha umma awajibishwe, hata kama ni Rais, kipindi cha corona upotoshaji ule uliua watu wengi”. Lazima tuwe nchi inayowajibisha watu wasio na maadili –  @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/xrIF2nnozF https://t.co/ZiEq4ZA5sn",2022-10-23 10:29:44
116,ChangeTanzania,S4Shibeshi,29,“Serikali ina upotoshaji mkubwa walisema pesa za corona walizopata watajenga shule lakini mpaka sasa kuna shule za chini ya mti ni nyingi tu na changamoto ya madarasa iko palepale”. Uwajibikaji ni kitu adimu sana nchini – @Twaha_Mwaipaya #KatibaMpya #WenyeNchiWananchi https://t.co/87Y4r3Y4ID,2022-10-23 10:29:42
117,,ikotjo22,0,"@papa_loren Ini SDH bulan Oktober 2022 jadi SDH beberapa bulan operasi ya, kok kemarin masih dari luar tuh vaksinnya..
Lagian Corona dah gak berkutik hhh..",2022-10-23 10:25:37
118,,lensaRTV,1,"Kasus Covid-19 alami kenaikan hingga 1.685. Sementara itu total pasien konfirmasi corona di Indonesia mencapai 6.470.961 orang, jumlah pasien sembuh 6.293.147 orang dan 158.429 orang lainnya meninggal dunia. 
#CerdasCovid19 #UpdateCovid19 #YukVaksinCovid https://t.co/sCB5lWwZZq",2022-10-23 10:25:21
119,papuame71987382,corona_tweet,1,flm bokep papua #coronavirus,2022-10-23 10:23:53
120,papuame71987382,corona_tweet,1,flm bokep  #coronavirus,2022-10-23 10:23:50
121,,ApakBintang,0,@geloraco Beginilah kalau otak bercampur virus Corona,2022-10-23 10:08:45
122,,naelangsa,0,@sortigern gua kira lu positif corona,2022-10-23 10:08:01
